mode,name,hashcat_h_s,hashdog_h_s,delta_pct
26610,"MetaMask Wallet (short hash, plaintext check)",371891,371684,-0.1
27700,"MultiBit Classic .wallet (scrypt)",3739,3768,+0.8
28100,"Windows Hello PIN/Password",369168,371521,+0.6
29341,"TrueCrypt RIPEMD160 + XTS 512 bit + boot-mode",1459298,1466046,+0.5
29421,"VeraCrypt SHA512 + XTS 512 bit",2663,2708,+1.7
29511,"LUKS v1 SHA-1 + AES",60472,60501,+0.0
31000,"BLAKE2s-256",13333336641,13328173807,-0.0
31100,"ShangMi 3 (SM3)",7687277697,7639024780,-0.6
31900,"MetaMask Mobile Wallet",276627,275914,-0.3
33700,"Microsoft Online Account (PBKDF2-HMAC-SHA256 + AES256)",320893,372677,+16.1
34000,"Argon2",1407,1405,-0.1
34100,"LUKS v2 argon2 + SHA-256 + AES",22,22,+0.0
35100,"sm3crypt $sm3$, SM3 (Unix)",836834,839152,+0.3
